title,link,alert,content,tags,date
Duże zmiany w chorzowskiej edukacji? Poznaliśmy wstępne plany Zespołu doradczego,https://wykop.pl/link/7812529/duze-zmiany-w-chorzowskiej-edukacji-poznalismy-wstepne-plany-zespolu-doradczego,,"Tworzenie Zespołów Szkolno-Przedszkolnych, wygaszanie i łączenie szkół to wstępny plan Zespołu doradczego ds. edukacji, do którego udało nam się dotrzeć. Zespół ten został niedawno powiększony i pracuje nad kolejnymi zmianami. Co czeka chorzowską edukację?
tubachorzowa
tubachorzowa
z
tubachorzowa.pl
dodany: 1 godz. i 16 min temu
# edukacja
# nauczyciele
# chorzow
# szkolastandard
# zmiany","['edukacja', 'nauczyciele', 'chorzow', 'szkolastandard', 'zmiany']",2025-10-15 18:36:41
Koniec pewnej ery. MTV znika z ekranów Europy,https://wykop.pl/link/7812579/koniec-pewnej-ery-mtv-znika-z-ekranow-europy,,"To ewidentny koniec pewnej epoki: kultowa stacja MTV zaprzestaje nadawania. Niegdysiejsza instytucja kulturalna i drogow
drte111
drte111
z
businessinsider.com.pl
dodany: 20 min temu
# muzyka",['muzyka'],2025-10-15 19:33:13
"Tąpnięcie jak w pandemii. Jest gorzej, niż myśleliśmy.",https://wykop.pl/link/7811993/tapniecie-jak-w-pandemii-jest-gorzej-niz-myslelismy,,"We wrześniu 2025 roku rynek pracy w Polsce wyraźnie spowolnił. Liczba ofert spadła o 8 proc. rok do roku, a poziom rekrutacji zbliżył się do pandemicznego minimum. Choć w niektórych branżach wciąż widać wzrost, pracodawcy coraz ostrożniej zatrudniają.
PiotrSkargarkson
PiotrSkargarkson
z
pulshr.pl
dodany: 14 godz. i 57 min temu
# polska
# praca
# bezrobocie
# gospodarka
# informacje
# wiadomosci","['polska', 'praca', 'bezrobocie', 'gospodarka', 'informacje', 'wiadomosci']",2025-10-15 04:56:27
MY PIXEL 10 PRO FOLD EXPLODED - Czyli jak Jerry odpalił pixela.,https://wykop.pl/link/7812273/my-pixel-10-pro-fold-exploded-czyli-jak-jerry-odpalil-pixela,,"Google has tried nothing to strengthen the Pixel Fold 10 Pro and they are all out of ideas. The new Folding Pixel Phone has failed my durability test Catastrophically. If google needs better tools to build a better phone they can get one of my tool kits HERE: https://www.ifixit.com/products/ifixit-x
ra_s
ra_s
z
youtube.com
dodany: 7 godz. i 3 min temu
# pixel
# android
# google
# telefony
# smartfon
# googlepixel","['pixel', 'android', 'google', 'telefony', 'smartfon', 'googlepixel']",2025-10-15 12:50:30
Maciej Gładysz Mistrzem Świata Popołudniowej Sesji 1 Dnia Testów Posezonowych F3,https://wykop.pl/link/7812517/maciej-gladysz-mistrzem-swiata-popoludniowej-sesji-1-dnia-testow-posezonowych-f3,,"kolegaBob
kolegaBob
z
x.com
dodany: 1 godz. i 30 min temu
# f1
# f3
# f123
# kubica
# powrutcontent
# wiadomo","['f1', 'f3', 'f123', 'kubica', 'powrutcontent', 'wiadomo']",2025-10-15 18:23:36
"""Mechaniczny zapis dźwięku"" (1967) /CAŁY FILM/",https://wykop.pl/link/7812025/mechaniczny-zapis-dzwieku-1967-caly-film,,"Filmowa relacja prezentująca historyczny rozwój metod rejestracji dźwięku. Prezentowane są rozmaite sposoby mechaniczno-akustyczne i elektro-akustyczne pozwalające zapisywać dźwięk. Od historii przechodzimy do dnia dzisiejszego , do magnetofonów i nowoczesnych płyt gramofonowych.
HardWax
HardWax
z
youtube.com
dodany: 12 godz. i 17 min temu
# muzyka
# technologia
# historia
# ciekawostki","['muzyka', 'technologia', 'historia', 'ciekawostki']",2025-10-15 07:36:23
Brak tytułu,https://wykop.pl/link/7812469/marcin-zginal-na-grzybobraniu-wstrzasajaca-relacja-przyjaciela,,,[],
"Niemcy, raj dla zasiłków? Mają ponad 500 świadczeń społecznych",https://wykop.pl/link/7812275/niemcy-raj-dla-zasilkow-maja-ponad-500-swiadczen-spolecznych,,"Niemcy szykują się do poważnej reformy budżetu. Niemiecki instytut badawczy ifo chciał policzyć, ile kraj kosztują zasiłki
Foxrate
Foxrate
z
rp.pl
dodany: 7 godz. temu
# ekonomia
# niemcy
# emigracja","['ekonomia', 'niemcy', 'emigracja']",2025-10-15 12:53:58
Brutalna prawda o '' łatwych '' pieniądzach w sieci.,https://wykop.pl/link/7812251/brutalna-prawda-o-latwych-pieniadzach-w-sieci,,"Brutalna prawda o łatwych pieniądzach w sieci Serio, gdyby to wszystko było takie proste, jak pokazują reklamy&nbsp; to wszyscy już dawno siedzielibyśmy z laptopem na plaży A rzeczywistość? Większość osób szybko zderza się ze ścianą Afiliacja, proste systemy, pasywny dochód&nbsp; brzmi piękn
angelika913
angelika913
z
wykop.pl
dodany: 7 godz. i 35 min temu
# ebook
# czytajzwykopem
# pracaonline
# pracazdalna
# zarobek
# kindle","['ebook', 'czytajzwykopem', 'pracaonline', 'pracazdalna', 'zarobek', 'kindle']",2025-10-15 12:18:36
Alert zorzowy. Słońce wyrzuciło obłoki plazmy,https://wykop.pl/link/7812441/alert-zorzowy-slonce-wyrzucilo-obloki-plazmy,,"Cztery burze słoneczne zmierzają w kierunku Ziemi. Mogą wywołać turbulencje w sieci energetycznej i pracy satelitów.
belmondo69
belmondo69
z
polskieradio24.pl
dodany: 3 godz. i 21 min temu
# zorzapolarna
# ziemia
# kosmos
# slonce
# burzasloneczna","['zorzapolarna', 'ziemia', 'kosmos', 'slonce', 'burzasloneczna']",2025-10-15 16:32:52
"Nobel za ""kreatywną destrukcję"". Jak Mokyr, Aghion i Howitt wyjaśnili wzrost nap",https://wykop.pl/link/7812413/nobel-za-kreatywna-destrukcje-jak-mokyr-aghion-i-howitt-wyjasnili-wzrost-nap,,"Ważna konkluzja: Protekcjonizm handlowy i dominacja gigantów technologicznych mogą osłabiać dynamikę innowacji. Tegorocznymi laureatami Nagrody Nobla w dziedzinie ekonomii zostali Joel Mokyr, Philippe Aghion i Peter Howitt. Nagrodę
HalfdanMcDugan
HalfdanMcDugan
z
businessinsider.com.pl
dodany: 3 godz. i 56 min temu
# nobel
# ekonomia
# przedsiebiorczosc
# biznes
# firma
# gospodarka","['nobel', 'ekonomia', 'przedsiebiorczosc', 'biznes', 'firma', 'gospodarka']",2025-10-15 15:57:54
Mix śmiesznych filmików,https://wykop.pl/link/7812231/mix-smiesznych-filmikow,,"Tylko uważać, żeby nie pęknąc ze śmiechu
Flapjadzek
Flapjadzek
z
youtube.com
dodany: 7 godz. i 49 min temu
# mix
# smieszne
# filmiki","['mix', 'smieszne', 'filmiki']",2025-10-15 12:04:50
Rozwój Osobisty | Motywacja i Sukces,https://wykop.pl/link/7812599/rozwoj-osobisty-motywacja-i-sukces,,"Najlepsze ebooki o rozwoju osobistym, motywacji i sukcesie w jednym miejscu. Szeroki wybór tytułów, atrakcyjne ceny i sz
sbuddladomu
sbuddladomu
z
rozwojowastrefa.pl
dodany: 9 min temu
# rozwojosobisty
# motywacja
# sukces
# pieniadze
# biznes
# zycie","['rozwojosobisty', 'motywacja', 'sukces', 'pieniadze', 'biznes', 'zycie']",2025-10-15 19:44:51
OLSZTYN: MAFIA PER MONDO SYSTEM POWIĄZAŃ I MILCZENIA,https://wykop.pl/link/7812315/olsztyn-mafia-per-mondo-system-powiazan-i-milczenia,,"Pod przykrywką w Olsztynie działa układ, w którym fundacje, urzędnicy i schronisko kontrolują się nawzajem, opiniując, dzieląc dotacje między siebie i wpływy. O wszystkim wie Prezydent Olsztyna, który nie widzi w tym nic złego.
PitCore
PitCore
z
buymeacoffee.com
dodany: 6 godz. i 15 min temu
# olsztyn
# ngo
# system
# wyludzenia
# schroniskodlazwierzat
# informacje","['olsztyn', 'ngo', 'system', 'wyludzenia', 'schroniskodlazwierzat', 'informacje']",2025-10-15 13:38:34
Szał na rynku opcji. Bijemy historyczny rekord tuż przed sezonem wynikowym!,https://wykop.pl/link/7811895/szal-na-rynku-opcji-bijemy-historyczny-rekord-tuz-przed-sezonem-wynikowym,,"Coś takiego nie wydarzyło się nigdy wcześniej. Ponad 108 milionów kontraktów opcyjnych przetworzonych w jeden dzień i najwyższa od dwóch lat oczekiwana zmienność - Wall Street przypomina rozgrzaną beczkę prochu. Czy październikowy sezon wyników stanie się iskrą, która ją odpali?
FXMAG
FXMAG
z
fxmag.pl
dodany: 22 godz. i 2 min temu
# ekonomia
# gospodarka
# gielda
# inwestowanie
# wykop30plus
# wykop","['ekonomia', 'gospodarka', 'gielda', 'inwestowanie', 'wykop30plus', 'wykop']",2025-10-14 21:51:16
Brak tytułu,https://wykop.pl/link/7811961/znow-o-nim-glosno-ksiadz-krystian-k-przylapany-z-narkotykami,,,[],
Oficjalnie: Russell i Antonelli zostają w Mercedesie na kolejny sezon,https://wykop.pl/link/7812383/oficjalnie-russell-i-antonelli-zostaja-w-mercedesie-na-kolejny-sezon,,"Mercedes wreszcie potwierdził skład kierowców na sezon 2026...
f1dzielpasje
f1dzielpasje
z
f1.dziel-pasje.pl
dodany: 4 godz. i 43 min temu
# f1dzielpasje",['f1dzielpasje'],2025-10-15 15:11:20
Nasza zima biała | M. Konopnicka (Slavic Folk Dark Pagan Metal),https://wykop.pl/link/7812263/nasza-zima-biala-m-konopnicka-slavic-folk-dark-pagan-metal,,"Nasza zima biała W stylu słowiańskiego metalu | Maria Konopnicka Zimowy pejzaż z dziecięcego wiersza Marii Konopnickiej nabiera tu nowego, mrocznego życia. Nasza zima biała w wersji Slavic Folk Dark Pagan Metal to połączenie surowego piękna natury i ludowej melancholii.
Old_Culti
Old_Culti
z
youtube.com
dodany: 7 godz. i 27 min temu
# muzyka
# metal
# heheszki
# poezja
# poezjaspiewana
# indierock","['muzyka', 'metal', 'heheszki', 'poezja', 'poezjaspiewana', 'indierock']",2025-10-15 12:27:25
Stwórzmy razem Dubbing do Baldurs Gate 3,https://wykop.pl/link/7812355/stworzmy-razem-dubbing-do-baldurs-gate-3,,"Cześć od ponad roku tworze sobie takie amatorskie dubbingi AI do starych gier, trochę mi się marzy takie otwarte studio online gdzie każdy może wrzucić swoją własną cegiełkę i tym właśnie jest VOXALTER STUDIO, każdy może się zalogować w zupełnie za darmo wygenerować lub nawet nagrać własne kwestie,
mateusz-wisniowski
mateusz-wisniowski
z
wykop.pl
dodany: 5 godz. i 19 min temu
# baldursgate3
# dubbing
# ai
# gry
# tworczoscwlasna
# elevenlabs","['baldursgate3', 'dubbing', 'ai', 'gry', 'tworczoscwlasna', 'elevenlabs']",2025-10-15 14:34:47
Brak tytułu,https://wykop.pl/link/7812421/taurus-przed-tomahawkami-stany-zjednoczone-wywieraja-presje-na-niemcy,,,[],
Astral Projection - Let There Be Light [2023 Remix] HD,https://wykop.pl/link/7811855/astral-projection-let-there-be-light-2023-remix-hd,,"Astral Projection - Let There Be Light [2023 Remix] HD - HQ, Get it: https://iboga.fanlink.to/iZ5j Iboga Records & Trust In Trance Records Subscribe: http://bit.ly/SubscribeAstralProjection Listen to Astral Projection Live Show: http://bit.ly/1WVnSVA Listen to Astral projection - Goa Classics Remixe
sykselek
sykselek
z
youtube.com
dodany: 23 godz. i 34 min temu
# astralprojection",['astralprojection'],2025-10-14 20:20:04
Policja ignoruje czerwone światła i przejeżdża przez przejazd kolejowy.,https://wykop.pl/link/7811933/policja-ignoruje-czerwone-swiatla-i-przejezdza-przez-przejazd-kolejowy,,"Policja ignoruje zamknięte rogatki, migające czerwone światła na przeejeździe kolejowym i nie widzi w tym problemu.
Adrian77
Adrian77
z
youtube.com
dodany: 21 godz. temu
# policja
# katowice
# slask
# kolej
# prawo
# pkp","['policja', 'katowice', 'slask', 'kolej', 'prawo', 'pkp']",2025-10-14 22:54:18
Brak tytułu,https://wykop.pl/link/7811903/silna-wola-kazdego-faceta,,,[],
Kolejne polskie firmy zakończyły I etap zdobycia standardu dla przemysłu jądrowe,https://wykop.pl/link/7812047/kolejne-polskie-firmy-zakonczyly-i-etap-zdobycia-standardu-dla-przemyslu-jadrowe,,"Pozytywne przejście pierwszej fazy procesu dostosowania do standardu NQA-1 przez wszystkie firmy z wybranej grupy stanowi dowód pełnego i odpowiedzialnego zaangażowania przedstawicieli polskiego przemysłu w przygotowania do udziału w budowie pierwszej elektrowni jądrowej w Polsce.
ralf-szer
ralf-szer
z
investmap.pl
dodany: 11 godz. i 23 min temu
# ciekawostki
# polska
# energetyka
# gospodarka
# atom","['ciekawostki', 'polska', 'energetyka', 'gospodarka', 'atom']",2025-10-15 08:31:33
Ten silnik mógł odmienić motoryzację. Przełomowa technologia czy wielka ściema?,https://wykop.pl/link/7812331/ten-silnik-mogl-odmienic-motoryzacje-przelomowa-technologia-czy-wielka-sciema,,"Obiecywał rewolucję w motoryzacji większą moc przy mniejszym spalaniu, niższe emisje i prostszą konstrukcję. Silnik Scuderi miał być odpowiedzią na bolączki tradycyjnych jednostek spalinowych. Zamiast tego stał się jednym z najgłośniejszych przykładów niespełnionych innowacji w historii branży.
PennerBlack
PennerBlack
z
motofocus.pl
dodany: 5 godz. i 51 min temu
# motoryzacja
# samochody
# ciekawostki
# inzynieria
# technologia","['motoryzacja', 'samochody', 'ciekawostki', 'inzynieria', 'technologia']",2025-10-15 14:03:15
"Po burzy hejtu, fala inspiracji. Astronauta Uznański-Wiśniewski rusza w trasę",https://wykop.pl/link/7812181/po-burzy-hejtu-fala-inspiracji-astronauta-uznanski-wisniewski-rusza-w-trase,,"Dr Sławosz Uznański-Wiśniewski, drugi Polak w kosmosie i pierwszy na pokładzie Międzynarodowej Stacji Kosmicznej, dziś wykładem na Politechnice Warszawskiej inauguruje ogólnopolską serię spotkań ze studentami.
wadowice24
wadowice24
z
bumber.pl
dodany: 8 godz. i 41 min temu
# astronauta
# uznanski
# studenci
# kosmos","['astronauta', 'uznanski', 'studenci', 'kosmos']",2025-10-15 11:13:22
Poczobut i zaorane cmentarze. Raport o niszczeniu polskiej pamięci,https://wykop.pl/link/7812583/poczobut-i-zaorane-cmentarze-raport-o-niszczeniu-polskiej-pamieci,,"W cieniu represji wobec polskiej mniejszości na Białorusi, której symbolem stał się uwięziony dziennikarz i działacz Zwi
tadeusz-pisalnik
tadeusz-pisalnik
z
glosznadniemna.pl
dodany: 20 min temu
# andrzejpoczobut
# pamiec
# rezimlukaszenki
# bialorus
# historia
# prawdahistoryczna","['andrzejpoczobut', 'pamiec', 'rezimlukaszenki', 'bialorus', 'historia', 'prawdahistoryczna']",2025-10-15 19:34:46
Afera z udziałem kamerzysty TVP podczas Konkursu Chopinowskiego,https://wykop.pl/link/7812423/afera-z-udzialem-kamerzysty-tvp-podczas-konkursu-chopinowskiego,,"Podczas XIX Międzynarodowego Konkursu Pianistycznego im. Fryderyka Chopina doszło do nietypowej sytuacji. Jedna z osób z publiczności zwróciła uwagę na niestosowne zachowanie kamerzysty TVP, który nie wyciszył telefonu, przesuwał krzesło i przestawiał sprzęt w trakcie występu Williama Yanga
Maaatiz
Maaatiz
z
warszawa.naszemiasto.pl
dodany: 3 godz. i 43 min temu
# chopin
# konkurschopinowski
# tvpis
# tvp
# telewizja
# media","['chopin', 'konkurschopinowski', 'tvpis', 'tvp', 'telewizja', 'media']",2025-10-15 16:11:09
Brak tytułu,https://wykop.pl/link/7811997/jezeli-szuka-cie-policja-to-nie-pal-na-dworcu,,,[],
Brak tytułu,https://wykop.pl/link/7812407/amerykanska-bron-dla-ukrainy-sekretarz-generalny-nato-o-szczegolach-zaczelism,,,[],
"Nocna Prohibicja W Łodzi. Spokój Dla Jednych, Utrapienie Dla Drugich.",https://wykop.pl/link/7812365/nocna-prohibicja-w-lodzi-spokoj-dla-jednych-utrapienie-dla-drugich,,"Nocna Prohibicja W Łodzi. Spokój Dla Jednych, Utrapienie Dla Drugich. Analizujemy Skutki
moboblog
moboblog
z
lodzbezwiosel.pl
dodany: 5 godz. temu
# bezpieczenstwo
# zdrowie
# medycyna
# lodz
# ciekawostki
# prohibicja","['bezpieczenstwo', 'zdrowie', 'medycyna', 'lodz', 'ciekawostki', 'prohibicja']",2025-10-15 14:55:17
Brak tytułu,https://wykop.pl/link/7812325/pilsudski-nie-chcial-jednak-sojuszu-z-hitlerem-nowe-fakty-komu-wierzyc,,,[],
Dzicy lokatorzy w kawalerce. Jeżdżą autem za 100 tys. zł,https://wykop.pl/link/7812427/dzicy-lokatorzy-w-kawalerce-jezdza-autem-za-100-tys-zl,,"Wprowadzili się do mieszkania i niemal od początku przestali płacić za jego wynajem. Pan Grzegorz z Cieszyna szacuje, że są mu winni 17,5 tys. zł. Lokatorzy to matka i syn. Choć oboje oficjalnie nie pracują, to dysponują autem za ponad 100 tys. zł.
starnak
starnak
z
interwencja.polsatnews.pl
dodany: 3 godz. i 36 min temu
# polska
# cieszyn
# kawalerka
# mieszkanie
# oplaty","['polska', 'cieszyn', 'kawalerka', 'mieszkanie', 'oplaty']",2025-10-15 16:19:14
"Hirakawa zapłacił aż 3,5 miliona dolarów za jazdy bolidami McLarena w 2024 roku",https://wykop.pl/link/7812541/hirakawa-zaplacil-az-3-5-miliona-dolarow-za-jazdy-bolidami-mclarena-w-2024-roku,,"Wyszło na jaw, ile Japończyk zapłacił za jazdy w McLarenie...
f1dzielpasje
f1dzielpasje
z
f1.dziel-pasje.pl
dodany: 1 godz. i 9 min temu
# f1dzielpasje",['f1dzielpasje'],2025-10-15 18:45:36
Obowiązkowe ubezpieczenie psów - konieczność czy fanaberia?,https://wykop.pl/link/7812145/obowiazkowe-ubezpieczenie-psow-koniecznosc-czy-fanaberia,,"Wystarczy krótki spacer po parku czy osiedlu, by zobaczyć skalę problemu: wszechobecne psie odchody, szczekanie dobiegające zza drzwi mieszkań a w mediach regularnie pojawiają się informacje o pogryzieniach. Winne? Nie zwierzęta - te działają instynktownie. Winni są ludzie którzy wzięli na siebie...
radiopiotrkow
radiopiotrkow
z
medium.com
dodany: 9 godz. i 22 min temu
# psiarze
# psy
# pies
# piesel
# zwierzeta
# czworonogi","['psiarze', 'psy', 'pies', 'piesel', 'zwierzeta', 'czworonogi']",2025-10-15 10:33:22
Czy warto być nauczycielem? trudne pytanie w Dzień Nauczyciela,https://wykop.pl/link/7812549/czy-warto-byc-nauczycielem-trudne-pytanie-w-dzien-nauczyciela,,"Niektórzy mówią, że to zawód z misją. Inni że z szaleństwem. A może jedno i drugie? Dzień Nauczyciela to dobry moment, by zadać sobie kilka niewygodnych pytań.
merkuriusz24
merkuriusz24
z
merkuriusz24.pl
dodany: 58 min temu
# edukacja
# nauka
# dzieci
# polska
# przemyslenia","['edukacja', 'nauka', 'dzieci', 'polska', 'przemyslenia']",2025-10-15 18:57:14
Brak tytułu,https://wykop.pl/link/7812429/sprzeczka-w-moskiewskim-metrze,,,[],
